"Year","Mon","Day","Pcp(mm)","Tmax(c)","Tmin(c)","WSpeed(m/s)","RHumidity(fr)","SRad(MJ/m2)","SShine(hr)","Cloud(1/10)","Tavg(c)"
"1969","01","01",0.1,-3.3,-11,1.5,"0.57","-99.00",6.2,7.3,-7.4
"1969","01","02",0,-6.4,-12.9,1.8,"0.57","-99.00",7.4,0.8,-9.9
"1969","01","03",0.1,-4.2,-14.4,2.6,"0.653","-99.00",6.7,5.8,-9.1
"1969","01","04",0.1,0.7,-10.4,2.7,"0.745","-99.00",1.5,8.5,-4.1
"1969","01","05",3.9,-1,-6,1.1,"0.808","-99.00",0,10,-4
"1969","01","06",0,-1,-8.6,1.7,"0.665","-99.00",5.8,6.8,-5.1
"1969","01","07",0,-3.9,-13.2,1,"0.678","-99.00",7.5,3.8,-7.4
"1969","01","08",0,-1,-12.5,0.6,"0.745","-99.00",6.9,2,-7.1
"1969","01","09",0,0.8,-13,0.7,"0.675","-99.00",6.7,1,-6.9
"1969","01","10",0,2.4,-6.8,1.2,"0.768","-99.00",0.7,10,-2.7
"1969","01","11",0,-1,-5.9,2.5,"0.625","-99.00",0,10,-3.7
"1969","01","12",0,-2.6,-9.2,1.4,"0.505","-99.00",7.9,0,-6.5
"1969","01","13",0,0.2,-14.6,0.9,"0.613","-99.00",7.8,0,-8.1
"1969","01","14",0,-2.1,-9.8,2.2,"0.513","-99.00",8.2,2.8,-5.8
"1969","01","15",0,-3,-12.5,1.7,"0.523","-99.00",8.3,0,-8.5
"1969","01","16",0,1.7,-11.9,1.1,"0.688","-99.00",7.2,5,-5.6
"1969","01","17",0,5.5,-5.5,1.2,"0.73","-99.00",1.1,8.5,0.1
"1969","01","18",0,7.4,-0.5,0.9,"0.76","-99.00",0,8.3,2.7
"1969","01","19",0,9.8,-5.9,0.5,"0.733","-99.00",4.9,3.5,0.8
"1969","01","20",0,9.2,-2.2,1.1,"0.695","-99.00",5.2,7.5,2.6
"1969","01","21",0,7.2,-1.5,1.2,"0.545","-99.00",8,4.3,1.5
"1969","01","22",0,10.5,-4.9,1.2,"0.673","-99.00",8.3,0,1.1
"1969","01","23",0.1,6.7,-0.9,2.1,"0.655","-99.00",0,9.8,2.8
"1969","01","24",0,3.1,-6.5,1,"0.623","-99.00",5.8,4.5,-1.5
"1969","01","25",9.1,3.3,0.2,0.4,"0.83","-99.00",0,10,1.9
"1969","01","26",9,5.3,2.3,0.7,"0.828","-99.00",0,10,3.8
